Processador,Processador (score),Placa de Vídeo,Placa de video (score),Memória de Vídeo (GB),RAM (GB),SSD (GB),HD (GB),Fonte (W),Preco (R$)
AMD 4700S,18102.00,GeForce GT 1030,2519.00,2,16,240,0,500,1946.00
AMD 4700S,18102.00,GeForce GT 610,302.00,2,16,512,0,500,2181.49
AMD 4700S,18102.00,GeForce GTX 1060,10066.00,3,16,256,0,500,3220.46
AMD 4700S,18102.00,GeForce GTX 750 TI,3909.00,4,16,240,0,500,2738.44
AMD 4700S,18102.00,Radeon R5 220,134.00,2,16,0,1024,500,2353.18
AMD 4700S,18102.00,Radeon RX 550,2724.00,4,16,256,0,500,2555.68
AMD 4700S,18102.00,Radeon RX 560,3616.00,4,16,240,0,500,3300.53
AMD 4700S,18102.00,Radeon RX 6400,6941.00,4,16,128,0,500,2897.61
AMD 4700S,18102.00,Radeon RX 6500 XT,9278.00,4,16,256,0,500,3190.91
AMD A10 9700,3547.00,GeForce GT 1030,2519.00,2,4,240,0,400,2780.53
AMD A10 9700,3547.00,GeForce GTX 1050 Ti,6297.00,4,8,0,1000,500,3305.94
AMD A10 9700,3547.00,GeForce GTX 1650,7820.00,4,8,240,0,500,3607.52
AMD A10 9700,3547.00,GeForce GTX 750 TI,3909.00,4,8,240,0,500,3172.40
AMD A10 9700,3547.00,Radeon R7,1982.00,2,8,0,1024,200,2537.66
AMD A10 9700,3547.00,Radeon R7,1982.00,2,16,512,0,400,3269.00
AMD A10 9700,3547.00,Radeon RX 550,2724.00,4,8,240,0,500,2920.75
AMD A8 9600,3285.00,GeForce GT 1030,2519.00,2,8,240,0,400,2655.27
AMD A8 9600,3285.00,GeForce GTX 1050 Ti,6297.00,4,8,240,0,500,3049.00
AMD A8 9600,3285.00,Radeon R5 220,134.00,2,8,0,1024,400,2511.35
AMD A8 9600,3285.00,Radeon R7,1982.00,2,8,120,0,200,1852.26
AMD A8 9600,3285.00,Radeon R7,1982.00,2,8,0,1024,200,2399.00
AMD A8 9600,3285.00,Radeon R7,1982.00,2,16,120,0,400,3315.00
AMD A8 9600,3285.00,Radeon RX 550,2724.00,4,8,240,0,500,2736.47
AMD Athlon 3000G,4483.00,Radeon RX 560,3616.00,4,8,240,0,550,2957.31
AMD Athlon 3000G,4483.00,Radeon Vega 3,886.00,2,8,0,500,200,1697.50
AMD Athlon 3000G,4483.00,Radeon Vega 3,886.00,2,8,0,500,200,1857.00
AMD Athlon 3000G,4483.00,Radeon Vega 3,886.00,2,8,120,0,400,1879.00
AMD Athlon 3000G,4483.00,Radeon Vega 3,886.00,2,16,240,0,500,2100.00
AMD Ryzen 3 3200G,7190.00,GeForce GTX 1650,7820.00,4,8,240,0,500,3485.51
AMD Ryzen 3 3200G,7190.00,Radeon Vega 8,1588.00,4,8,240,0,200,2222.77
AMD Ryzen 3 3200G,7190.00,Radeon Vega 8,1588.00,4,8,240,0,400,1897.71
AMD Ryzen 3 3200G,7190.00,Radeon Vega 8,1588.00,4,8,256,0,400,2102.16
AMD Ryzen 3 4100,11037.00,GeForce GTX 1060,10066.00,3,8,240,0,500,3509.66
AMD Ryzen 3 4100,11037.00,GeForce GTX 1650,7820.00,4,8,240,0,500,3525.19
AMD Ryzen 3 4100,11037.00,Radeon RX 550,2724.00,4,8,240,0,500,3042.59
AMD Ryzen 3 4100,11037.00,Radeon RX 6400,6941.00,4,8,240,0,500,3286.96
AMD Ryzen 5 2400G,8727.00,Radeon Vega 11,2124.00,2,8,0,1000,500,3119.32
AMD Ryzen 5 2400G,8727.00,Radeon Vega 11,2124.00,2,8,128,0,550,3184.55
